10021,Darlene ,Lazaro,11/25/1985,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino,740-721-558,Probationary,0004,00040002,10016,45-5617168-2,606386917510,354-650-951-000,104907708845,23250,1500,500,500,138.39,temp,password
10022,Kolby ,Delos Santos,02/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,Probationary,0004,00040002,10016,52-0109570-6,357451271274,187-500-345-000,113017988667,24000,1500,500,500,142.86,temp,password
10023,Vella ,Santos,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,Probationary,0004,00040002,10016,52-9883524-3,548670482885,101-558-994-000,360028104576,22500,1500,500,500,133.93,temp,password
10024,Tomas,Del Rosario,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,Probationary,0004,00040002,10016,45-5866331-6,953901539995,560-735-732-000,913108649964,22500,1500,500,500,133.93,temp,password
10025,Jacklyn ,Tolentino,05/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,Probationary,0004,00040002,10017,47-1692793-0,753800654114,841-177-857-000,210546661243,24000,1500,500,500,142.86,temp,password
10026,Percival ,Gutierrez,12/18/1970,58A Wilderman Walks Poblacion Digos 5822 Davao del Sur,512-899-876,Probationary,0004,00040002,10017,40-9504657-8,797639382265,502-995-671-000,210897095686,24750,1500,500,500,147.32,temp,password
10027,Garfield ,Manalaysay,08/28/1986,60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur,948-628-136,Probationary,0004,00040002,10017,45-3298166-4,810909286264,336-676-445-000,211274476563,24750,1500,500,500,147.32,temp,password
10028,Lizeth ,Villegas,12/12/1981,66/77 Mann Views Luisiana 1263 Dinagat Islands,332-372-215,Probationary,0004,00040002,10017,40-2400719-4,934389652994,210-395-397-000,122238077997,24000,1500,500,500,142.86,temp,password
10029,Carol ,Ramos,08/20/1978,72/70 Stamm Spurs Bustos 4550 Iloilo,250-700-389,Probationary,0004,00040002,10017,60-1152206-4,351830469744,395-032-717-000,212141893454,22500,1500,500,500,133.93,temp,password
10030,Emelia ,Maceda,04/14/1973,50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija,973-358-041,Probationary,0004,00040002,10017,54-1331005-0,465087894112,215-973-013-000,515012579765,22500,1500,500,500,133.93,temp,password
10031,Delia ,Aguilar,01/27/1989,95 Cremin Junction Surallah 2809 Cotabato,529-705-439,Probationary,0004,00040002,10017,52-1859253-1,136451303068,599-312-588-000,110018813465,22500,1500,500,500,133.93,temp,password
10032,John Rafael,Castro,02/09/1992,Hi-way Yati Liloan Cebu,332-424-955,Regular,0006,00060000,10004,26-7145133-4,601644902402,404-768-309-000,697764069311,52670,1500,1000,1000,313.51,temp,password
10033,Carlos Ian,Martinez,11/16/1990,Bulala Camalaniugan,078-854-208,Regular,0007,00070000,10004,11-5062972-7,380685387212,256-436-296-000,993372963726,52670,1500,1000,1000,313.51,temp,password
10034,Beatriz,Santos,08/07/1990,Agapita Building Metro Manila,526-639-511,Regular,0005,00050000,10004,20-2987501-5,918460050077,911-529-713-000,874042259378,52670,1500,1000,1000,313.51,temp,password
